Ticker,Name,Price,Dividend Yield,Market Cap,P/E Ratio,Payout Ratio,Beta,EV/EBIT Ratio
WGO,"Winnebago Industries, Inc.",40.03,0.01,1266,11.5,0.121,1.0,7.8
WHD,"Cactus, Inc.",29.97,0.0,2251,14.1,0.0,1.2,10.4
WHG,"Westwood Holdings Group, Inc.",28.75,0.099,257,18.5,1.83,0.7,8.1
WING,"Wingstop, Inc.",87.53,0.004,2577,127.8,0.526,0.7,81.7
WIRE,Encore Wire Corp. (Delaware),56.05,0.001,1172,14.6,0.021,1.0,9.3
WLDN,"Willdan Group, Inc.",38.85,0.0,437,65.1,0.0,0.8,50.5
WLFC,Willis Lease Finance Corp.,56.9,0.0,333,5.3,0.0,0.7,10.9
WLH,"William Lyon Homes, Inc.",20.29,0.0,768,9.6,0.0,1.0,17.1
WLL,Whiting Petroleum Corp.,9.63,0.0,879,3.5,0.0,2.2,8.4
WMC,Western Asset Mortgage Capital Corp.,10.1,0.123,538,11.1,1.357,0.5,11.0
WMK,"Weis Markets, Inc.",38.56,0.032,1037,16.7,0.532,0.4,11.7
WNC,Wabash National Corp.,14.82,0.021,807,13.3,0.282,1.1,9.3
